Permit ID: FD-00001,07/26/2023,Routine Inspection,A,0,,,,,,
Permit ID: FD-00001,10-03-22,Routine Inspection,A,0,,,,,,
Permit ID: FD-00001,02/22/2022,Routine Inspection,A,0,,,,,,
Permit ID: FD-00001,05-04-21,Routine Inspection,A,0,,,,,,
Permit ID: FD-00001,03/18/2021,Advisory,,0,,,,,,
Permit ID: FD-00001,12-08-20,Advisory,,0,,,,,,
Permit ID: FD-00001,10-08-20,Advisory,,0,,,,,,
Permit ID: FD-00001,09-02-20,Advisory,,0,,,,,,
Permit ID: FD-00002,05/24/2023,Routine Inspection,A,0,,,,,,
Permit ID: FD-00002,11/16/2022,Routine Inspection,A,0,,,,,,
Permit ID: FD-00002,05/17/2022,Routine Inspection,A,0,,,,,,
Permit ID: FD-00002,10-06-21,Routine Inspection,A,0,,,,,,
Permit ID: FD-00002,06-02-21,Routine Inspection,A,0,,,,,,
Permit ID: FD-00002,05/13/2021,Ineffective Visit,,0,,,,,,
Permit ID: FD-00002,12-03-20,Routine Inspection,A,0,,,,,,
Permit ID: FD-00002,12-01-20,Advisory,,0,,,,,,
Permit ID: FD-00003,07/17/2023,Routine Inspection,A,0,,,,,,
Permit ID: FD-00003,05-01-23,Routine Inspection,A,0,,,,,,
Permit ID: FD-00003,01-10-23,Routine Inspection,A,0,,,,,,
Permit ID: FD-00003,10/26/2022,Routine Inspection,A,0,,,,,,
Permit ID: FD-00003,07/19/2022,Routine Inspection,A,0,,,,,,
Permit ID: FD-00003,02-08-22,Routine Inspection,Not Participating,0,,,,,,
Permit ID: FD-00003,11-02-21,Routine Inspection,A,0,,,,,,
Permit ID: FD-00003,07/21/2021,Routine Inspection,A,0,,,,,,
Permit ID: FD-00003,03/24/2021,Routine Inspection,A,0,,,,,,
Permit ID: FD-00003,11/16/2020,Routine Inspection,B,1,,,,,,
Permit ID: FD-00004,06/29/2023,Routine Inspection,A,0,,,,,,
Permit ID: FD-00004,03/21/2023,Routine Inspection,A,0,,,,,,
Permit ID: FD-00004,12-07-22,Routine Inspection,A,0,,,,,,
Permit ID: FD-00004,07/26/2022,Routine Inspection,A,0,,,,,,
Permit ID: FD-00004,04/15/2022,Routine Inspection,A,0,,,,,,
Permit ID: FD-00004,11-09-21,Routine Inspection,A,0,,,,,,
Permit ID: FD-00004,10-05-21,Routine Inspection,A,0,,,,,,
Permit ID: FD-00004,04/14/2021,Routine Inspection,A,0,,,,,,
Permit ID: FD-00004,12/14/2020,Routine Inspection,A,0,,,,,,
Permit ID: FD-00005,02/23/2023,Routine Inspection,A,0,,,,,,
Permit ID: FD-00005,10-12-22,Advisory,,0,,,,,,
Permit ID: FD-00005,10-05-22,Routine Inspection,B,1,,,,,,
Permit ID: FD-00005,03/22/2022,Routine Inspection,A,0,,,,,,
Permit ID: FD-00005,09-01-21,Routine Inspection,A,0,,,,,,
Permit ID: FD-00005,02-02-21,Routine Inspection,A,0,,,,,,
Permit ID: FD-00005,10/26/2020,Routine Inspection,A,0,,,,,,
Permit ID: FD-00005,08/26/2020,Routine Inspection,A,0,,,,,,
Permit ID: FD-00006,03-06-23,Routine Inspection,A,0,,,,,,
Permit ID: FD-00006,09/21/2022,Routine Inspection,A,0,,,,,,
Permit ID: FD-00006,03/16/2022,Routine Inspection,A,0,,,,,,
Permit ID: FD-00006,09-10-21,Routine Inspection,A,0,,,,,,
Permit ID: FD-00006,05/17/2021,Routine Inspection,A,0,,,,,,
Permit ID: FD-00006,12-01-20,Routine Inspection,A,0,,,,,,
Permit ID: FD-00007,03/20/2023,Routine Inspection,A,0,,,,,,
Permit ID: FD-00007,10/17/2022,Routine Inspection,A,0,,,,,,
Permit ID: FD-00007,04-11-22,Routine Inspection,A,0,,,,,,
Permit ID: FD-00007,10/26/2021,Routine Inspection,A,0,,,,,,
Permit ID: FD-00007,05-03-21,Routine Inspection,A,0,,,,,,
Permit ID: FD-00007,01-12-21,Advisory,,0,,,,,,
Permit ID: FD-00007,12-02-20,Advisory,,0,,,,,,
Permit ID: FD-00007,09/14/2020,Advisory,,0,,,,,,
Permit ID: FD-00008,08-01-23,Routine Inspection,A,0,,,,,,
Permit ID: FD-00008,04/19/2023,Routine Inspection,A,0,,,,,,
Permit ID: FD-00008,10/27/2022,Routine Inspection,A,0,,,,,,
Permit ID: FD-00008,04/19/2022,Routine Inspection,A,0,,,,,,
Permit ID: FD-00008,10/20/2021,Routine Inspection,Not Participating,0,,,,,,
Permit ID: FD-00008,03/17/2021,Routine Inspection,A,0,,,,,,
Permit ID: FD-00008,10-06-20,Routine Inspection,A,0,,,,,,
Permit ID: FD-00009,02/28/2023,Routine Inspection,A,0,,,,,,
Permit ID: FD-00009,09/20/2022,Routine Inspection,A,0,,,,,,
Permit ID: FD-00009,09/19/2022,Ineffective Visit,,0,,,,,,
Permit ID: FD-00009,03/29/2022,Routine Inspection,A,0,,,,,,
Permit ID: FD-00009,08/24/2021,Routine Inspection,A,0,,,,,,
Permit ID: FD-00009,03/25/2021,Routine Inspection,A,0,,,,,,
Permit ID: FD-00009,10/21/2020,Routine Inspection,Not Participating,0,,,,,,
Permit ID: FD-00011,04/24/2023,Routine Inspection,A,0,,,,,,
Permit ID: FD-00011,10/27/2022,Routine Inspection,A,0,,,,,,
Permit ID: FD-00011,01/24/2022,Routine Inspection,A,0,,,,,,
Permit ID: FD-00011,08/27/2021,Routine Inspection,A,0,,,,,,
Permit ID: FD-00011,03/24/2021,Routine Inspection,A,0,,,,,,
Permit ID: FD-00011,08/25/2020,Routine Inspection,A,0,,,,,,
Permit ID: FD-00012,05-09-23,Advisory,,0,,,,,,
Permit ID: FD-00012,04/19/2023,Routine Inspection,A,0,,,,,,
Permit ID: FD-00012,09/26/2022,Routine Inspection,A,0,,,,,,
Permit ID: FD-00012,04/26/2022,Advisory,,0,,,,,,
Permit ID: FD-00012,04-11-22,Routine Inspection,A,0,,,,,,
Permit ID: FD-00012,10/25/2021,Routine Inspection,A,0,,,,,,
Permit ID: FD-00012,05-11-21,Routine Inspection,A,0,,,,,,
Permit ID: FD-00012,11-03-20,Routine Inspection,A,0,,,,,,
Permit ID: FD-00015,04-11-23,Routine Inspection,B,0,,,,,,
Permit ID: FD-00015,10/24/2022,Routine Inspection,A,0,,,,,,
Permit ID: FD-00015,03/23/2022,Routine Inspection,A,0,,,,,,
Permit ID: FD-00015,08/25/2021,Routine Inspection,A,0,,,,,,
Permit ID: FD-00015,03-03-21,Routine Inspection,A,0,,,,,,
Permit ID: FD-00015,10/15/2020,Routine Inspection,A,0,,,,,,
Permit ID: FD-00016,04/13/2023,Routine Inspection,A,0,,,,,,
Permit ID: FD-00016,08/22/2022,Routine Inspection,A,0,,,,,,
Permit ID: FD-00016,03/25/2022,Routine Inspection,B,1,,,,,,
Permit ID: FD-00016,09/22/2021,Routine Inspection,A,0,,,,,,
Permit ID: FD-00016,04-09-21,Re-Inspection,,0,,,,,,
Permit ID: FD-00016,03/31/2021,Routine Inspection,B,0,,,,,,
Permit ID: FD-00016,10/14/2020,Routine Inspection,A,0,,,,,,
Permit ID: FD-00020,03/23/2023,Routine Inspection,A,0,,,,,,
Permit ID: FD-00020,08-11-22,Routine Inspection,A,0,,,,,,
Permit ID: FD-00020,01/13/2022,Routine Inspection,A,0,,,,,,
Permit ID: FD-00020,08/16/2021,Routine Inspection,A,0,,,,,,
Permit ID: FD-00020,02-03-21,Routine Inspection,A,0,,,,,,
Permit ID: FD-00020,09/14/2020,Routine Inspection,A,0,,,,,,
Permit ID: FD-00021,04/27/2023,Routine Inspection,A,0,,,,,,
Permit ID: FD-00021,04/24/2023,Ineffective Visit,,0,,,,,,
Permit ID: FD-00021,11/16/2022,Routine Inspection,A,0,,,,,,
Permit ID: FD-00021,06/15/2022,Routine Inspection,A,0,,,,,,
Permit ID: FD-00021,06-01-22,Ineffective Visit,,0,,,,,,
